,feedback,polarity,subjectivity,sentiment
75,This example is a good illustration of leverage using options,0.7,0.6000000000000001,pos
76,CO I believe,0.0,0.0,neutral
77,"Exactly, this is precisely the purpose of margins",0.325,0.525,pos
78,"Good practical example of basis risk, well done",0.7,0.6000000000000001,pos
79,This section is a bit too descriptive - critical analysis is missing,-0.1,0.42500000000000004,neg
80,It's better not to mention tables at this stage,0.5,0.5,pos
81,The sections in the table of contents should be numbered - this is the main purpose of it,0.16666666666666666,0.3333333333333333,neutral
82,"That's to say, government bonds - also relevant is the country that issued the bond Corporate bonds are subject to the risk of default, too",0.07777777777777779,0.41111111111111115,neutral
83,"Not clear - if the geometric is the real one, why then to bother using the arithmetic mean?",-0.05416666666666667,0.45694444444444443,neg
84,It boils down to the preferences of investors - one possible combination would be to have zero investment in a particular class,0.0037037037037036904,0.5407407407407407,neutral
85,"Correct, this is the separation result mentioned in the textbook",0.0,0.0,neutral
86,"One should be time-weighted, the other, dollar-weighted",-0.125,0.375,neg
87,"Risk cannot be observed, only estimated - as such, it might not be accurately measured",0.13333333333333336,0.7111111111111111,neutral
88,Be mindful of page breaks,0.0,0.0,neutral
89,"These are two different concepts - utility function represents the preferences of the investor, but not in the sense of being preferred over something else",0.0,0.6,neutral
90,"Precisely, that's correct",0.4,0.8,pos
91,"Missing in this section is a discussion of cyclical and defensive industries Based on Ghana's economic outlook, you could then provide a recommendation for investing in either one of these two industries",0.0,0.125,neutral
92,"Yes, since the higher the volatility the more valuable the option is",0.375,0.5,pos
93,"That's not correct - the reason is that some (real) assets have option-like features (for example, property development)",0.2,0.30000000000000004,neutral
94,"The exchange allows risks to be transferred and be borne by those that can better afford it The price mechanism plays an important role on it, and this notion is not as trivial as it might sound",0.43333333333333335,0.6333333333333333,pos
95,This discussion could had been better articulated - it's too short and descriptive,0.25,0.4,neutral
96,"Very systematic report, a table of contents like this helps the reader to understand how the whole document is organised",0.2,0.35,neutral
97,You could have numbered the equations without necessarily writing 'Equation',0.0,1.0,neutral
98,Good discussion: a reference would fit well here Are there studies showing that the GM is indeed a downward biased estimator of future returns?,0.3666666666666667,0.375,pos
99,"Very good point, well done",0.9099999999999999,0.7800000000000001,pos
100,What's the complete portfolio? This term could had been defined earlier,0.05,0.45,neutral
101,"You could have elaborated a bit more on this: why the separation property is, from a practical perspective, so important?",0.45,0.75,pos
102,"Good that this was mentioned, it creates the context for the forthcoming analysis",0.7,0.6000000000000001,pos
103,"Informative discussion, well done",0.0,0.0,neutral
104,Why that's the case? Is it more a supply or demand effect?,0.5,0.5,pos
105,"This is correct, however a more critical discussion could have been provided For instance, why the price of an option is positively associated with the volatility of the underlying asset?",0.24242424242424243,0.6151515151515151,neutral
106,"Indeed, it's nice that you have mentioned the put-call parity",0.6,1.0,pos
107,"Nice discussion about margins and mark-to-market, well done",0.6,1.0,pos
108,"Good discussion, and in this section you also managed to summarize well the pros and cons of each measure",0.7,0.6000000000000001,pos
109,"Very nice discussion and use of references, why to relegate it to the conclusions and not to the analysis of options?",0.78,1.0,pos
110,"Very informative summary, the only section missing is about future markets",0.0,0.36875,neutral
111,"In general, yes However, that will also depend on the time-horizon of the investment",0.05000000000000002,0.5,neutral
112,"This is a fair point, however government bonds' rate of return are also influenced by economic factors (eg, inflation) not under direct control of the government",0.3333333333333333,0.5,pos
113,You could have presented only the summary statistics for each asset,0.0,1.0,neutral
114,"Yes: risk is not observable and, as such, must be estimated The question is, then: what's the best estimator?",0.5,0.4,pos
115,"This is a very important remark, well done Knowing the assumptions of the model gives us a sense of whether it's applicable or not - are these assumptions verified in reality? If not, are there substantial grounds to invalidate the results?",0.52,1.0,pos
116,"Given that you already have presented the correlation matrix, there's no need to show the covariance matrix - essentially, they provide the same information",0.0,0.2125,neutral
117,"Nice graph, well done",0.6,1.0,pos
118,"This could have been delegated to the appendix, particularly the bordered covariance matrix",0.16666666666666666,0.3333333333333333,neutral
119,"Yes, this is what one would conclude from these two economic indicators - the prospects for the economy are good",0.44999999999999996,0.4,pos
120,"Good discussion, in economics this kind of argument is referred to as general equilibrium Well done",0.44999999999999996,0.6666666666666666,pos
121,"Yes, this is what one would expect It's nice that you have provided a reference to support this claim",0.6,1.0,pos
122,This section could have elaborated a bit more on the theory of option pricing rather than focusing only on the calculations,0.25,0.75,neutral
123,Good discussion Any studies to support the claim that futures markets are usually in contango?,0.22499999999999998,0.42500000000000004,neutral
124,"Good explanation, clear example",0.39999999999999997,0.4916666666666667,pos
125,The discussion in this section could be a bit more critical and less descriptive,0.11111111111111112,0.45555555555555555,neutral
126,"Yes, this would be a good start",0.7,0.6000000000000001,pos
127,Very good summary: concise and informative,0.505,0.6900000000000001,pos
128,"It might be the case, to a certain degree",0.21428571428571427,0.5714285714285714,neutral
129,Well articulated introduction touching on the main issues that will be discussed,0.3333333333333333,0.41666666666666663,pos
130,"You managed to explain quite well what each of the assets represent, and therefore contextualize the the figures for return and risk of each",0.0,0.0,neutral
131,"Very pertinent discussion As you have mentioned, the data cover the GFC and, as such, it might be biased",0.1,0.4,neutral
132,Good discussion and use of references,0.7,0.6000000000000001,pos
133,"This could be better explained: in which sense a diversified asset allocation has a significant impact on performance? Diversification is mainly done for eliminating non-systematic risk and, therefore, is important for risk management purposes",0.3604166666666667,0.6770833333333333,pos
134,"The CAL is meant to intersect the y-axis at the risk-free interest rate (ie, how much the portfolio would yield in case of zero risk)",0.30000000000000004,0.4,pos
135,Tables need to be properly labeled,0.0,0.1,neutral
136,"The bordered-covariance matrix does not provide any information that's crucial for the understanding of the report and, as such, could have been relegated to the appendix",0.0,0.75,neutral
137,That's a fair question The economic indicators are signs of the state of the economy - how the economic agents will react to them might either strengthen or weaken the underlying fundamentals associated with the indicators,0.36666666666666664,0.43333333333333335,pos
138,"Would you say that stock markets are overvalued, or else that low interest rates had led to the formation of asset bubbles?",0.0,0.3,neutral
139,"Interesting observation, to be confirmed",0.45,0.75,pos
140,Which asset this beta is associated with? Not clear,-0.05000000000000001,0.3833333333333333,neg
141,"Good discussion, in other words some stocks are hybrids and do not behave exactly as if from a cyclical or defensive industry",0.27499999999999997,0.4083333333333334,pos
142,A more critical discussion of option pricing could had been pursued,0.25,0.65,neutral
143,Too descriptive: why basis risk is a risk for someone invested in a futures contract?,0.0,0.0,neutral
144,Where this information is?,0.0,0.0,neutral
145,"Hi Josh, yours was an outstanding report, well done",0.5,0.875,pos
146,Very informative summary,0.2,0.3,neutral
147,Good use of references,0.7,0.6000000000000001,pos
148,"This is an important remark, however it would be nice to point out a reference pointing out to asset returns not following the normal distribution as claimed",0.2875,0.6875,pos
149,It's better to avoid short paragraphs like this one,0.25,0.4,neutral
150,The summary statistics would suffice in the body of the report (the time-series of the rates of return could had been relegated to the appendix),0.0,0.0,neutral
151,"Well posed discussion, nice flow",0.6,1.0,pos
152,"Correct, and it's important to make this distinction: the optimal portfolio is efficient, but only one among the efficient portfolios is optimal",0.2,1.0,neutral
153,You could have cited the original article by William Sharpe - avoid Investopedia,0.375,0.75,pos
154,"Very good point However, be mindful that you could also have arrived at a risk higher than the minimum risk among the individual assets, and that would not be wrong: the goal is to maximize the reward for risk (Sharpe ratio), not to minimize the risk",0.16499999999999998,0.645,neutral
155,Nice that you have mentioned it,0.6,1.0,pos
156,"Important remark, future does not repeat the past You could have also mentioned that the correlation in the rates of returns across assets might change, and that would have an effect on the weights in the optimal risky portfolio too",0.05000000000000001,0.4583333333333333,neutral
157,"Relatively shorter section, but informative nonetheless You could have included in the discussion a note on leading, coincident, and lagging indicators",0.0,0.0,neutral
158,"Correct, it's nice that you not only have mentioned how different variables affect option prices, but also why",0.19999999999999998,0.8666666666666667,neutral
159,"Important remark, well done",0.4,1.0,pos
160,"You brought to the discussion very important issues that need to be considered when talking about the Black-Scholes formula, I'm quite pleased to see that",0.51,1.0,pos
161,"Yes, correct",0.0,0.0,neutral
162,Good discussion of basis risk,0.7,0.6000000000000001,pos
163,"Good point, this relates to one of my comments in the efficient frontier section",0.7,0.6000000000000001,pos
164,This could have been omitted - be mindful that the report is intended to be a formal document,0.0,0.0,neutral
165,"Diversification is mainly to reduce risk, not to beat the market",0.16666666666666666,0.3333333333333333,neutral
166,What elite capabilities would be?,0.0,0.0,neutral
167,That's correct,0.0,0.0,neutral
168,"Tables need to be properly labeled In this particular one, there's no need to include the time-series of rates of return - only the summary statistics would suffice",0.05555555555555555,0.4777777777777778,neutral
169,Good point,0.7,0.6000000000000001,pos
170,"Good discussion, these are important issues to mention when talking about expected return and risk",0.3333333333333333,0.6666666666666666,pos
171,"Correct, this is why the theory behind efficient frontier and optimal risky portfolios is so important",0.0,0.85,neutral
172,Correct,0.0,0.0,neutral
173,"In fact, where in the CAL the portfolio will be",0.0,0.0,neutral
174,"This is not correct The allocation across the different risky assets will be the same for every investor there's only one optimal risky portfolio, regardless of whether the investor is a retiree or a young professional What changes is the amount that will be invested in the optimal risky portfolio vis a vis the riskfree asset (the retirees will most likely invest more in the risk-free asset as opposed to young professionals)",0.17,0.5225,neutral
175,It's good that you have discussed some of the limitations of the theory,0.7,0.6000000000000001,pos
176,Why lending money is not possible?,0.0,1.0,neutral
177,There's no need to present the covariance and bordered covariance matrix in the body of the report - both could have been relegated to the appendix The chart below needs to be properly labeled,0.0,0.05,neutral
178,"Yes, this would be a good starting point",0.35,0.35000000000000003,pos
179,"Yes, this is prudent advice",0.0,0.0,neutral
180,Nice quote,0.6,1.0,pos
181,"Good explanation, well posed",0.7,0.6000000000000001,pos
182,You could have elaborated in terms of how and why these variables affect option prices,0.0,0.0,neutral
183,"Good point, and one of the reasons why it can expose investors to significant risks",0.5375,0.7375,pos
184,Explanation of basis risk and its implications could be more clear,0.3,0.44166666666666665,pos
185,"Absolutely, well said!",0.25,0.9,neutral
186,Why do you think so? Wouldn't the Sharpe ratio simply be a measure of compensation for risk?,0.0,0.35714285714285715,neutral
187,"Yes, very important point",0.52,1.0,pos
188,This example requires a better explanation: where these numbers are coming from?,0.5,0.5,pos
189,Good discussion about manipulation proof measures,0.7,0.6000000000000001,pos
190,True indeed,0.35,0.65,pos
191,Nice discussion and good use of references,0.6499999999999999,0.8,pos
192,This table could had been relegated to the appendix Beware also that you refer to it as figure but then mention Table,0.0,0.0,neutral
193,"That is to say, intersecting the efficient frontier at the point where the Sharpe ratio is maximized",0.0,0.0,neutral
194,"There seems to be an issue with some of the steps in the optimization process Moreover, the axes in the chart should had been labeled",0.0,0.0,neutral
195,Nice portray of the assumed scenario,0.6,1.0,pos
196,"It's good that you have made this point since there are two other types of economic indicators (ie, coincident and lagging), with differently implications in terms of characterizing the state of the economy (as you correctly explain in the sequence)",0.19374999999999998,0.44375,neutral
197,Good discussion and use of references,0.7,0.6000000000000001,pos
198,"Very good analysis and example, well done",0.9099999999999999,0.7800000000000001,pos
199,You have mentioned the assumptions and could have gone a bit further in explaining whether they are verified in reality,0.0,0.5,neutral
200,That's correct,0.0,0.0,neutral
201,"Very good discussion about funds' performance measures, particularly so in terms of their limitations, well done",0.5383333333333333,0.5566666666666668,pos
202,The executive summary is meant to provide a snapshot of what's covered in the report and its results/conclusions,0.0,0.0,neutral
203,These are outside the scope of investment management,0.0,0.05,neutral
204,Please proof read your report before submission,0.0,0.0,neutral
205,In fact the S&P  includes the  largest companies in the US,0.0,0.0,neutral
206,"There is no need to display the time-series of rates of return, the summary statistics for each asset would suffice",0.0,0.0,neutral
207,The analysis could had been more critical and less descriptive,0.11111111111111112,0.45555555555555555,neutral
208,"Good explanation of efficient portfolios, well done",0.7,0.6000000000000001,pos
209,This statement is not very clear: does it mean that portfolio will differ based on investors' preferences?,-0.17548076923076922,0.4911858974358974,neg
210,"By definition, the risk-free aseet has zero risk",0.4,0.6,pos
211,"This is a nice discussion The slope of the CAL is equal to maximum Sharpe ratio, which in turn indicates the compensation (eg expected return) for risk Therefore, the higher the slope of the CAL, investors are being better rewarded for the risk of their portfolio",0.25,0.53,neutral
212,This table looks very similar to the one reproduced before,0.0,0.52,neutral
213,There's no need to display the bordered-covariance matrix in the body of the report - it doesn't help the reader to understand the report,0.0,0.0,neutral
214,"This graph needs to be properly labeled (eg, axes need to be named)",0.0,0.1,neutral
215,"You seem to be displaying an unnecessary portion of the inefficient frontier Moreover, the CAL should intersect the y-axis at the rusk-free rate",-0.4,0.9,neg
216,Very appropriate discussion: different types of indicators will convey different messages about the economy,0.21666666666666667,0.6166666666666667,neutral
217,That's correct,0.0,0.0,neutral
218,"Correct, as they tend to move in the same direction of the economy",0.0,0.125,neutral
219,"It's good that you have pointed out the factors that affect the prices of options, however you could have gone a step further and discuss the reasons for that (eg, why the price of an option increases with the volatility of the underlying asset?)",0.35,0.55,pos
220,"This is not correct - the option is to invest in an asset that presumably yields more than the risk-free rate since it has positive volatility That said, the option might entail a negative return and as such not be exercised",0.16545454545454544,0.509090909090909,neutral
221,"Very good point, well done - not necessarily, though, to the supply and demand for stocks",0.45499999999999996,0.8900000000000001,pos
222,Good summary of future contracts,0.35,0.36250000000000004,pos
223,"Precisely Although you have provided an example quantifying basis risk, you could have elaborate a bit more on the implications of it for investors",0.4666666666666666,0.7666666666666666,pos
224,The analysis in this section could had been more critical and less descriptive,0.11111111111111112,0.45555555555555555,neutral
225,"Yes, very perceptive remark",0.2,0.3,neutral
226,An executive summary should had been provided,0.0,0.0,neutral
227,The time-series of the rates of return could have been relegated to the appendix,0.0,0.0,neutral
228,Tables need to be properly labeled,0.0,0.1,neutral
229,Why it would be helpful in terms of identifying scope? This demands a better explanation,0.5,0.5,pos
230,"Alright, this is the explanation that I was after",0.0,0.0,neutral
231,In which sense? Is it because of being a reference for investors across the world?,0.0,0.0,neutral
232,"Yes, and this is the focus of the question involving the efficient frontier and optimal risky portfolios",0.0,0.0,neutral
233,"Not necessarily - what if all the assets chosen offer a bad reward (ie, expected return) for the embedded risk?",-0.2666666666666666,0.6888888888888888,neg
234,I guess this was meant to be typed 'This asset class' It's always good to proof read the report before the final submission,0.35,0.8,pos
235,Be mindful of page breaks,0.0,0.0,neutral
236,"Not true, the arithmetic and geometric means differ because of episodes of high volatility - if the volatility was low (not necessarily zero), the two averages would be similar",-0.002999999999999997,0.5780000000000001,neg
237,"Or else, that Brent Oil has experienced periods of high volatility",0.48000000000000004,0.72,pos
238,"The frontier looks very nice, you could have labeled the axes though",0.78,1.0,pos
239,There's no need to provide the bordered-covariance matrix in the body of the report - it doesn't contain any essential information for the reader of report,0.0,0.3,neutral
240,"Same comment applies here Also, be mindful of page breaks",0.0,0.125,neutral
241,"Only correlation, there's no bordered correlation",0.0,1.0,neutral
242,"Refrain from mentioning bordered correlation, correlation is the only term to be used",0.0,1.0,neutral
243,"In fact, identify the portfolio that offers the best reward (ie, expected return) per unit of risk - this is the portfolio that maximizes the Sharpe ratio",0.3333333333333333,0.2333333333333333,pos
244,It's not clear what it means and the information that it could provide to an investor,-0.05000000000000001,0.3833333333333333,neg
245,"Yes, that's correct These are goods that have low price-elasticity",0.0,0.3,neutral
246,Don't forget to use capital letters when starting a sentence,0.0,0.1,neutral
247,"A discussion of the theory involved in option pricing, particularly the Black-Scholes formula, was expected",0.033333333333333326,0.3666666666666667,neutral
248,"Similarly to the comment on the previous section, the discussion could had been more critical and touched on additional elements (eg, basis risk)",0.08333333333333334,0.4666666666666667,neutral
249,Why not? This is precisely how it works in practice,0.4,0.8,pos
250,More analysis was required: how the measures compared to each other? What are the pros an cons of each?,0.1875,0.4375,neutral
251,A conclusion to the report should had been provided,0.0,0.0,neutral
252,Table of contents should have been provided in a page separate from the executive summary,0.0,0.0,neutral
253,Good discussion of asset classes An introduction with the road map for the report is missing,0.24999999999999997,0.32500000000000007,neutral
254,Tables need to be properly labeled The time series of the returns could have been left for the appendix The table below with the summary statistics suffices - that's the only information the reader needs,0.0,0.3666666666666667,neutral
255,It seems that you have used the wrong numbers for the report - these do not match the data provided,-0.5,0.9,neg
256,"The chart is not properly labeled, the axes are not identified and neither is the scale used",0.0,0.1,neutral
257,"Rather, the capital allocation line, which in turn should be tangent to the efficient frontier",0.0,0.0,neutral
258,This table could be smaller and omit the 'Year' row and column,0.0,0.5,neutral
259,Sections of the report need to be easily identifiable by the reader,0.1,0.5,neutral
260,"Yes, that's correct and it corresponds to the main purpose of economic indicators",0.18333333333333335,0.26666666666666666,neutral
261,Not fixed income but rather positive returns (as per the data used for the analysis),0.08863636363636362,0.3727272727272727,neutral
262,"This is a very nice graph, it would have caused an even better impact on the reader if it was displayed using a another scale The legend takes too much space of the chart, which makes the lines difficult to distinguish",0.245,0.675,neutral
263,"Consumer expectations is a measure of the sentiment of consumers towards the overall economy, not to a particular asset",0.08333333333333333,0.16666666666666666,neutral
264,"Which stocks, which industries, and which time-frame? Stocks tend to have high volatility compared to other assets",0.0175,0.45749999999999996,neutral
265,"Once again, it would be better to start new sections using bold letters in their titles",0.32323232323232326,0.5404040404040403,pos
266,"Why do you say so? This is not as per your calculations above, which show that both put and call options have positive prices",0.11363636363636363,0.3227272727272727,neutral
267,The intrinsic value of the option is not based on the difference between its price and that of the underlying stock - it's give directly by the Black-Scholes formula,0.1,0.4,neutral
268,"Correct, good discussion of basis risk and clear explanation of why it's a risk for investors",0.39999999999999997,0.4916666666666667,pos
269,"This section is too descriptive, a proper analysis of the different funds' performance measures is missing",-0.06666666666666667,0.25,neg
270,A conclusion to the report should have been provided,0.0,0.0,neutral
271,Executive summary is missing,-0.2,0.05,neg
272,"Not correct - for example, an investor might face a period of consistent positive returns on her investment without realizing any losses There will still be an average of that even though no losses have ocurred",0.10909090909090909,0.39848484848484844,neutral
273,"The discussion that follows is too descriptive, and could have been substitute by a table containing the summary statistics for the rates of return on each of the five assets",0.0,0.0,neutral
274,"In case of high volatility in the price of the asset, or great dispersion in the rates of return",0.48000000000000004,0.645,pos
275,"This figure could have been displayed in the body of the report since it provides an important illustration of the concept Moreover, if the figure is in the appendix then the reader must be made aware of that without having to look for it throughout the report",0.325,0.625,pos
276,This section does not provide any discussion in terms of the implications of economics indicators for portfolio management,0.0,0.0,neutral
277,"This is an overstatement, the World Bank is not the guardian of the global economic system, by any means",0.1,0.1,neutral
278,"The factors that affect option prices could not only be mentioned but also explained Overall, though, a fair discussion of the model was provided",0.2333333333333333,0.6333333333333333,neutral
279,"This is a good explanation of forward contracts supported by an example, however it doesn't make clear how forwards differ from future contracts",0.26666666666666666,0.36944444444444446,pos
280,"Correct, these are precisely the risks faced by sellers and buyers of future contracts You could have explained basis risk also",0.2,0.4625,neutral
281,More critical analysis and discussion of the concepts was required in this section,0.25,0.65,neutral
282,"Before the references, a conclusion should had been included in the report",0.0,0.0,neutral
283,"Yes, that's the main issue In other words, we are after the data generating process of the rates of return of assets, a daunting task",0.02083333333333333,0.35416666666666663,neutral
284,"One of the most, in the previous century",0.16666666666666669,0.3333333333333333,neutral
285,Good discussion and emphasis on the reason why the arithmetic mean differs from the geometric one,0.19374999999999998,0.64375,neutral
286,That's a very important assumption and the reason why the use of past data to predict future returns to be made with caution,0.09000000000000001,0.4583333333333333,neutral
287,"Very important remark, well done",0.52,1.0,pos
288,"There's only one optimal risky portfolio, which is the one where the efficient frontier is tangent to the capital allocation line",0.0,1.0,neutral
289,"Yes, precisely",0.4,0.8,pos
290,This answers a comment that I previously made,-0.16666666666666666,0.16666666666666666,neg
291,Be mindful of page breaks,0.0,0.0,neutral
292,"Very detailed graph, well done",0.52,0.9750000000000001,pos
293,"The covariance matrix does not provide significant additional information to the correlation matrix and, as such, could be left for the appendix The bordered covariance matrix is also not fundamental for the understanding of the report and, hence, could be omitted",0.125,0.4583333333333333,neutral
294,"Behavioral finance would be qualified as something else I highly encourage you to have a look at it It's related to behavioral economics, field which got the most recent Nobel Prize in Economics (the winner was Richard Thaler)",0.165,0.4225,neutral
295,"Detailed discussion where the reasons for cyclical and defensive cycles to be affected in different ways by the business cycle, and the corresponding impact on portfolio management, were well presented",0.2,0.675,neutral
296,"Yes, and as of March  there's still no consensus in regards to the benefits of quantitative easing programs put forward by a variety of central banks around the world",0.0,0.25,neutral
297,"Yes, true indeed It's the least observable of the parameters What's the reason for the volatility of the underlying to affect the price of the option, in a way that the higher the volatility the higher the option price?",0.1375,0.5125,neutral
298,"Interesting point, good use of references",0.6,0.55,pos
299,"In a way, it's like leveraging but being exposed only to the good side of it",0.35,0.8,pos
300,"Very good example, well done",0.9099999999999999,0.7800000000000001,pos
301,Good discussion supported by examples,0.7,0.6000000000000001,pos
302,"This was not necessarily the case, as evidenced by the GFC A very controversial discussion, indeed, and I'm glad that you have made this remark on the report",0.405,1.0,pos
303,"Yes, that's what the margins are for - to guarantee that the parties of the contract can fulfill their obligations",0.0,0.0,neutral
304,"Correct, unless investors are risk-neutral",0.0,0.0,neutral
305,"Well posed discussion, good job",0.7,0.6000000000000001,pos
306,"Although very detailed and comprising the main features of the different measures, the discussion that follow could have done across  paragraphs - at the moment, it's too much information being presented in one block of text",0.22166666666666668,0.5270833333333333,neutral
307,Good executive summary: concise and informative,0.39999999999999997,0.6000000000000001,pos
308,Good introduction: could have been used as an executive summary as well,0.7,0.6000000000000001,pos
309,"Mostly, however that does not apply to every single bond offered by different sovereigns (sovereign default risk is a still a major issue in many countries)",0.19821428571428573,0.4628571428571428,neutral
310,Good discussion and use of references,0.7,0.6000000000000001,pos
311,Which Copper? Please provide the reference,0.0,0.0,neutral
